kvalifikovat se,qualify [ˈkwɒl.ɪ.faɪ]
zemědělský,agricultural [ˌæɡ.rɪˈkʌl.tʃər.əl]
sportovec,athlete [ˈæθ.liːt]
býk,bull [bʊl]
příspěvek,contribution [ˌkɒn.trɪˈbjuː.ʃən]
lahodný,delicious [dɪˈlɪʃ.əs]
snadnost,ease [iːz]
sláva,fame [feɪm]
povodeň,flood [flʌd]
generovat,generate [ˈdʒen.ə.reɪt]
genetický,genetic [dʒəˈnet.ɪk]
zapůsobit,impress [ɪmˈpres]
okamžik,instant [ˈɪn.stənt]
investor,investor [ɪnˈves.tər]
svoboda,liberty [ˈlɪb.ə.ti]
fotografie,photograph [ˈfəʊ.tə.ɡrɑːf]
pokrokový,progressive [prəˈɡres.ɪv]
trest,punishment [ˈpʌn.ɪʃ.mənt]
shromáždění,rally [ˈræl.i]
rychle,rapidly [ˈræp.ɪd.li]
zastoupení,representation [ˌrep.rɪ.zenˈteɪ.ʃən]
součet,sum [sʌm]
houpat (se),swing [swɪŋ]
ocas,tail [teɪl]
dvojče,twin [twɪn]
nadcházející,upcoming [ˈʌpˌkʌm.ɪŋ]
veterán,veteran [ˈvet.ər.ən]
ostražitý,alert [əˈlɜːt]
aréna,arena [əˈriː.nə]
(policejní) obušek,billy [ˈbɪl.i]
rozmach,boom [buːm]
bota (vysoká),boot [buːt]
statečný,brave [breɪv]
sloupec,column [ˈkɒl.əm]
odškodnění,compensation [ˌkɒm.penˈseɪ.ʃən]
složení (ze složek),composition [ˌkɒm.pəˈzɪʃ.ən]
přechod,crossing [ˈkrɒs.ɪŋ]
hustota,density [ˈden.sɪ.ti]
obtížnost,difficulty [ˈdɪf.ɪ.kəl.ti]
základní,elementary [ˌel.ɪˈmen.tər.i]
etnický,ethnic [ˈeθ.nɪk]
výdaj,expense [ɪkˈspens]
flotila,fleet [fliːt]
pěstounský,foster [ˈfɒs.tər]
základní,fundamental [ˌfʌn.dəˈmen.təl]
génius,genius [ˈdʒiː.ni.əs]
velice,greatly [ˈɡreɪt.li]
(odborné) vedení,guidance [ˈɡaɪ.dəns]
infekce,infection [ɪnˈfek.ʃən]
úmysl,intention [ɪnˈten.ʃən]
koleno,knee [niː]
mechanický,mechanical [məˈkæn.ɪ.kəl]
účast,participation [pɑːˌtɪs.ɪˈpeɪ.ʃən]
drahocenný,precious [ˈpreʃ.əs]
těhotenství,pregnancy [ˈpreɡ.nən.si]
předstírat,pretend [prɪˈtend]
kněz,priest [priːst]
význačný,prominent [ˈprɒm.ɪ.nənt]
radikální,radical [ˈræd.ɪ.kəl]
obytný,residential [ˌrez.ɪˈden.ʃəl]
odměna,reward [rɪˈwɔːd]
červenka,robin [ˈrɒb.ɪn]
satelit,satellite [ˈsæt.əl.aɪt]
(za)třást,shake [ʃeɪk]
břeh,shore [ʃɔːr]
značný,substantial [səbˈstæn.ʃəl]
přenos,transmission [trænzˈmɪʃ.ən]
past,trap [træp]
uniforma,uniform [ˈjuː.nɪ.fɔːm]
divoká příroda/zvěř,wildlife [ˈwaɪld.laɪf]
dřevěný,wooden [ˈwʊd.ən]
agresivní,aggressive [əˈɡres.ɪv]
zdánlivý,apparent [əˈpær.ənt]
rána (zvuk),bang [bæŋ]
(silný) výbuch,blast [blɑːst]
komunista,communist [ˈkɒm.jə.nɪst]
stížnost,complaint [kəmˈpleɪnt]
odvaha,courage [ˈkʌr.ɪdʒ]
lék,cure [kjʊər]
zoufalý,desperate [ˈdes.pər.ət]
rozmanitost,diversity [daɪˈvɜː.sə.ti]
předvečer (události),eve [iːv]
fakulta,faculty [ˈfæk.əl.ti]
zpětná vazba,feedback [ˈfiːd.bæk]
bojovník,fighter [ˈfaɪ.tər]
inovace,innovation [ˌɪn.əˈveɪ.ʃən]
nástroj,instrument [ˈɪn.strə.mənt]
investovat,invest [ɪnˈvest]
sako,jacket [ˈdʒæk.ɪt]
zákonodárný,legislative [ˈledʒ.ɪ.slə.tɪv]
ošetřovatelský,nursing [ˈnɜː.sɪŋ]
obsadit,occupy [ˈɒk.jə.paɪ]
probíhající,ongoing [ˈɒŋˌɡəʊ.ɪŋ]
operátor,operator [ˈɒp.ər.eɪ.tər]
bolestivý,painful [ˈpeɪn.fəl]
příprava,preparation [ˌprep.ərˈeɪ.ʃən]
praštit (pěstí),punch [pʌntʃ]
fialová,purple [ˈpɜː.pəl]
železniční trať,railroad [ˈreɪl.rəʊd]
registrace,registration [ˌredʒ.ɪˈstreɪ.ʃən]
románek,romance [rəʊˈmæns]
podrobit se,submit [səbˈmɪt]
dostatečný,sufficient [səˈfɪʃ.ənt]
pozastavit,suspend [səˈspend]
tkáň,tissue [ˈtɪʃ.uː]
přívěs,trailer [ˈtreɪ.lər]
v podzemí,underground [ˌʌn.dəˈɡraʊnd]
"proti (zápas, proces)",versus [ˈvɜː.səs]
virtuální,virtual [ˈvɜː.tʃu.əl]
zranit (zbraní ap.),wound [wuːnd]
oznámení,announcement [əˈnaʊns.mənt]
zařídit,arrange [əˈreɪndʒ]
arzenál,arsenal [ˈɑː.sən.əl]
přitahovat,attract [əˈtrækt]
biologický,biological [ˌbaɪ.əˈlɒdʒ.ɪ.kəl]
kousnout,bite [baɪt]
čip,chip [tʃɪp]
odvážit se,dare [deər]
diskriminace,discrimination [dɪˌskrɪm.ɪˈneɪ.ʃən]
porucha (zdravotní ap.),disorder [dɪˈsɔː.dər]
rozesílat,distribute [dɪˈstrɪb.juːt]
dokument,documentary [ˌdɒk.jəˈmen.tər.i]
doména,domain [dəˈmeɪn]
dynamický,dynamic [daɪˈnæm.ɪk]
provést korektury (textu),edit [ˈed.ɪt]
zasnoubení,engagement [ɪnˈɡeɪdʒ.mənt]
(pro)zkoumat,explore [ɪkˈsplɔːr]
(filmový) záznam,footage [ˈfʊt.ɪdʒ]
hrob,grave [ɡreɪv]
zavedení,implementation [ˌɪm.plɪ.menˈteɪ.ʃən]
vyšetřovat,investigate [ɪnˈves.tɪ.ɡeɪt]
laboratoř,laboratory [ləˈbɒr.ə.tər.i]
literární,literary [ˈlɪt.ər.ər.i]
maska,mask [mɑːsk]
klavír,piano [piˈæn.əʊ]
(po)chválit,praise [preɪz]
prezentace,presentation [ˌprez.ənˈteɪ.ʃən]
psychologie,psychology [saɪˈkɒl.ə.dʒi]
omezení,restriction [rɪˈstrɪk.ʃən]
raketa,rocket [ˈrɒk.ɪt]
zřícenina,ruin [ˈruː.ɪn]
otrok,slave [sleɪv]
stabilita,stability [stəˈbɪl.ə.ti]
stabilní,steady [ˈsted.i]
symbol,symbol [ˈsɪm.bəl]
terminál,terminal [ˈtɜː.mɪ.nəl]
toaleta,toilet [ˈtɔɪ.lət]
smlouva,treaty [ˈtriː.ti]
trojitý,triple [ˈtrɪp.əl]
nepravděpodobný,unlikely [ʌnˈlaɪ.kli]
program schůze,agenda [əˈdʒen.də]
netopýr,bat [bæt]
luk,bow [baʊ]
kalendář,calendar [ˈkæl.ən.dər]
kolektivní,collective [kəˈlek.tɪv]
řemeslo,craft [krɑːft]
tma,darkness [ˈdɑːk.nəs]
ďábel,devil [ˈdev.əl]
umožnit,enable [ɪˈneɪ.bəl]
vlastní kapitál,equity [ˈek.wɪ.ti]
jmění,fortune [ˈfɔː.tʃuːn]
železářské zboží,hardware [ˈhɑːd.weər]
intelektuální,intellectual [ˌɪn.təlˈek.tʃu.əl]
částečně,partly [ˈpɑːt.li]
petice,petition [pəˈtɪʃ.ən]
fráze,phrase [freɪz]
fyzicky,physically [ˈfɪz.ɪ.kəl.i]
rasový,racial [ˈreɪ.ʃəl]
režim,regime [reɪˈʒiːm]
omáčka,sauce [sɔːs]
pečeť,seal [siːl]
(ochranný) štít,shield [ʃiːld]
podobně,similarly [ˈsɪm.ɪ.lə.li]
klouzat (se),slide [slaɪd]
stonek,stem [stem]
summit,summit [ˈsʌm.ɪt]
hrdlo,throat [θrəʊt]
tygr,tiger [ˈtaɪ.ɡər]
hračka,toy [tɔɪ]
bojovník,warrior [ˈwɒr.i.ər]
mimozemšťan,alien [ˈeɪ.li.ən]
trapný,awkward [ˈɔː.kwəd]
bestie,beast [biːst]
hovězí,beef [biːf]
sladkost(i),candy [ˈkæn.di]
dopravce,carrier [ˈkær.i.ər]
oslava,celebration [ˌsel.əˈbreɪ.ʃən]
celebrita,celebrity [səˈleb.rə.ti]
osvědčení,certificate [səˈtɪf.ɪ.kət]
(o)citovat,cite [saɪt]
jíl,clay [kleɪ]
trenér,coaching [ˈkəʊ.tʃɪŋ]
kolega,colleague [ˈkɒl.iːɡ]
postavit,construct [kənˈstrʌkt]
předem nastavený,default [dɪˈfɒlt]
odvodit,derive [dɪˈraɪv]
dialog,dialogue [ˈdaɪ.ə.lɒɡ]
zneškodnit,disable [dɪˈseɪ.bəl]
zřetelný,distinct [dɪˈstɪŋkt]
vláčet (po zemi),drag [dræɡ]
vzdělávat,educate [ˈedʒ.u.keɪt]
způsobilý,eligible [ˈel.ɪ.dʒə.bəl]
poprava,execution [ˌek.sɪˈkjuː.ʃən]
stoupenec,follower [ˈfɒl.əʊ.ər]
blázen,fool [fuːl]
rámec,framework [ˈfreɪm.wɜːk]
licence (k provozování pobočky),franchise [ˈfræn.tʃaɪz]
nábytek,furniture [ˈfɜː.nɪ.tʃər]
začlenit (se),integrate [ˈɪn.tɪ.ɡreɪt]
inteligentní,intelligent [ɪnˈtel.ɪ.dʒənt]
interakce,interaction [ˌɪn.təˈræk.ʃən]
tryska,jet [dʒet]
osvětlení,lighting [ˈlaɪ.tɪŋ]
smyčka,loop [luːp]
nákupní centrum,mall [mɔːl]
zámořský,overseas [ˌəʊ.vəˈsiːz]
naleštit,polish [ˈpɒl.ɪʃ]
doporučení,recommendation [ˌrek.ə.menˈdeɪ.ʃən]
zotavit se,recover [rɪˈkʌv.ər]
relaxovat,relax [rɪˈlæks]
spolehlivý,reliable [rɪˈlaɪ.ə.bəl]
spoléhat (se),rely [rɪˈlaɪ]
pozoruhodný,remarkable [rɪˈmɑː.kə.bəl]
obětovat,sacrifice [ˈsæk.rɪ.faɪs]
chodidlo,sole [səʊl]
uspět,succeed [səkˈsiːd]
příběh,tale [teɪl]
dobrovolník,volunteer [ˌvɒl.ənˈtɪər]
uctívat,worship [ˈwɜː.ʃɪp]
vážený (form.),worthy [ˈwɜː.ði]
poplach,alarm [əˈlɑːm]
dýchání,breathing [ˈbriː.ðɪŋ]
zadek,butt [bʌt]
charakteristika,characteristic [ˌkær.ək.təˈrɪs.tɪk]
spolupráce,collaboration [kəˌlæb.əˈreɪ.ʃən]
zvážení,consideration [kənˌsɪd.əˈreɪ.ʃən]
klíčový,crucial [ˈkruː.ʃəl]
závislý (odkázaný),dependent [dɪˈpen.dənt]
dvojí,dual [ˈdʒuː.əl]
vybavit,equip [ɪˈkwɪp]
experimentální,experimental [ɪkˌsper.ɪˈmen.təl]
krmení,feeding [ˈfiː.dɪŋ]
(pře)filtrovat,filter [ˈfɪl.tər]
galaxie,galaxy [ˈɡæl.ək.si]
zeměkoule,globe [ɡləʊb]
záliv,gulf [ɡʌlf]
zvýraznit,highlight [ˈhaɪ.laɪt]
úmysl,intent [ɪnˈtent]
rozsudek,judgment [ˈdʒʌdʒ.mənt]
rytíř,knight [naɪt]
dospět,mature [məˈtʃʊər]
pokojný,peaceful [ˈpiːs.fəl]
špendlík,pin [pɪn]
prevence,prevention [prɪˈven.ʃən]
tisk(nutí),printing [ˈprɪn.tɪŋ]
veřejně,publicly [ˈpʌb.lɪ.kli]
čerpadlo,pump [pʌmp]
pomsta,revenge [rɪˈvendʒ]
uspokojit,satisfy [ˈsæt.ɪs.faɪ]
uklouznout,slip [slɪp]
náhradní,spare [speər]
specialista,specialist [ˈspeʃ.əl.ɪst]
překvapivý,surprising [səˈpraɪ.zɪŋ]
kohoutek,tap [tæp]
turistika,tourism [ˈtʊə.rɪ.zəm]
přijatelný,acceptable [əkˈsept.ə.bəl]
spojenec,ally [ˈæl.aɪ]
dražba,auction [ˈɔːk.ʃən]
chaos,chaos [ˈkeɪ.ɒs]
skládat (hudbu ap.),compose [kəmˈpəʊz]
soustředění,concentration [ˌkɒn.sənˈtreɪ.ʃən]
měď,copper [ˈkɒp.ər]
speciální jednotky,corps [kɔːr]
počítání,counting [kaʊnt]
svítání,dawn [dɔːn]
spor,dispute [dɪˈspjuːt]
popravit,execute [ˈek.sɪ.kjuːt]
častý,frequent [ˈfriː.kwənt]
"okraj (kraj předmětu, hrana ap.)",margin [ˈmɑː.dʒɪn]
mechanismus,mechanism [ˈmek.ə.nɪ.zəm]
umírněný,moderate [ˈmɒd.ər.ət]
opera,opera [ˈɒp.ər.ə]
překonat,overcome [ˌəʊ.vəˈkʌm]
paralela,parallel [ˈpær.ə.lel]
pasáž,passage [ˈpæs.ɪdʒ]
jáma,pit [pɪt]
psychický,psychological [ˌsaɪ.kəlˈɒdʒ.ɪ.kəl]
hledání (kniž.),quest [kwest]
záření,radiation [ˌreɪ.diˈeɪ.ʃən]
mrtvice,stroke [strəʊk]
omračující (událost),stunning [ˈstʌn.ɪŋ]
melodie,tune [tʃuːn]
užitečnost,utility [juːˈtɪl.ə.ti]
plavidlo,vessel [ˈves.əl]
plevel,weed [wiːd]
kdekoli,wherever [weəˈrev.ər]
akvizice,acquisition [ˌæk.wɪˈzɪʃ.ən]
podzim,autumn [ˈɔː.təm]
odvážný,bold [bəʊld]
dýchat,breathe [briːð]
klasický,classical [ˈklæs.ɪ.kəl]
sponka,clip [klɪp]
mince,coin [kɔɪn]
spiknutí,conspiracy [kənˈspɪr.ə.si]
kontroverze,controversy [ˈkɒn.trə.vɜː.si]
bednář,cooper [ˈkuː.pər]
zmizet,disappear [ˌdɪs.əˈpɪər]
setkání (náhodné potkání),encounter [ɪnˈkaʊn.tər]
rovnost,equality [iˈkwɒl.ə.ti]
zkouška,exam [ɪɡˈzæm]
zkouška,examination [ɪɡˌzæm.ɪˈneɪ.ʃən]
federace,federation [ˌfed.ərˈeɪ.ʃən]
fiskální,fiscal [ˈfɪs.kəl]
strážce,guardian [ˈɡɑː.di.ən]
bez domova,homeless [ˈhəʊm.ləs]
intervence,intervention [ˌɪn.təˈven.ʃən]
milenec,lover [ˈlʌv.ər]
menu,menu [ˈmen.juː]
vzájemný,mutual [ˈmjuː.tʃu.əl]
přestupek,offense [əˈfens]
ústní,oral [ˈɔː.rəl]
panika,panic [ˈpæn.ɪk]
roztrhnout (se),rip [rɪp]
segment,segment [ˈseɡ.mənt]
spektrum,spectrum [ˈspek.trəm]
hrůza,terror [ˈter.ər]
obchodní spekulace,venture [ˈven.tʃər]
uspořádání,arrangement [əˈreɪndʒ.mənt]
"hranice (rozhraní, předěl)",boundary [ˈbaʊn.dər.i]
cihla,brick [brɪk]
značný,considerable [kənˈsɪd.ər.ə.bəl]
konvenční,conventional [kənˈven.ʃən.əl]
vyhradit (vyčlenit),designate [ˈdez.ɪɡ.neɪt]
císař,emperor [ˈem.pər.ər]
zaměstnavatel,employer [ɪmˈplɔɪ.ər]
obrovský,enormous [ɪˈnɔː.məs]
odpustit,forgive [fəˈɡɪv]
garáž,garage [ˈɡær.ɑːʒ]
shromáždění,gathering [ˈɡæð.ər.ɪŋ]
směrnice,guideline [ˈɡaɪd.laɪn]
otázka (form.),inquiry [ɪnˈkwaɪə.ri]
inspektor,inspector [ɪnˈspek.tər]
lev,lion [ˈlaɪ.ən]
osamělý,lonely [ˈləʊn.li]
slitování,mercy [ˈmɜː.si]
nicméně,nevertheless [ˌnev.ə.ðəˈles]
"zevní (stěny, vrstva ap.)",outer [ˈaʊ.tər]
kyslík,oxygen [ˈɒk.sɪ.dʒən]
trubka,pipe [paɪp]
báseň,poem [ˈpəʊ.ɪm]
prášek (rozmělněná hmota),powder [ˈpaʊ.dər]
rasismus,racism [ˈreɪ.sɪ.zəm]
sprostý,rude [ruːd]
šroub,screw [skruː]
přístřeší,shelter [ˈʃel.tər]
podpis,signature [ˈsɪɡ.nə.tʃər]
pavouk,spider [ˈspaɪ.dər]
projev úcty,tribute [ˈtrɪb.juːt]
spoušť,trigger [ˈtrɪɡ.ər]
lišit se,vary [ˈveə.ri]
místo konání,venue [ˈven.juː]
interrupce,abortion [əˈbɔː.ʃən]
přesnost,accuracy [ˈæk.jə.rə.si]
umělý,artificial [ˌɑː.tɪˈfɪʃ.əl]
důsledně,consistently [kənˈsɪs.tənt.li]
přeměna (jedné látky v jinou ap.),conversion [kənˈvɜː.ʃən]
autorské právo,copyright [ˈkɒp.i.raɪt]
demokrat,democrat [ˈdem.ə.kræt]
vklad,deposit [dɪˈpɒz.ɪt]
destination,destination [ˌdes.tɪˈneɪ.ʃən]
špína,dirt [dɜːt]
rozmanitý,diverse [daɪˈvɜːs]
božský,divine [dɪˈvaɪn]
výhradně,exclusively [ɪksˈkluː.sɪv.li]
vyvážet,export [ɪkˈspɔːt]
dříve (původně),formerly [ˈfɔː.mə.li]
funkční,functional [ˈfʌŋk.ʃən.əl]
dědeček,grandfather [ˈɡræn.fɑː.ðər]
zvyk,habit [ˈhæb.ɪt]
žárlivý,jealous [ˈdʒel.əs]
líný,lazy [ˈleɪ.zi]
pozměnit,modify [ˈmɒd.ɪ.faɪ]
obecní,municipal [mjuːˈnɪs.ɪ.pəl]
námořní,naval [ˈneɪ.vəl]
soused,neighbor [ˈneɪ·bər]
neutrální,neutral [ˈnjuː.trəl]
urozený,noble [ˈnəʊ.bəl]
(po)plácat,pat [pæt]
popularita,popularity [ˌpɒp.jəˈlær.ə.ti]
robot,robot [ˈrəʊ.bɒt]
posvátný,sacred [ˈseɪ.krɪd]
špión,spy [spaɪ]
návrh (nabídnutí možnosti),suggestion [səˈdʒes.tʃən]
pozastavení,suspension [səˈspen.ʃən]
terorismus,terrorism [ˈter.ər.ɪ.zəm]
jedovatý,toxic [ˈtɒk.sɪk]
pokladnice,treasury [ˈtreʒ.ər.i]
tunel,tunnel [ˈtʌn.əl]
modernizace,upgrade [ʌpˈɡreɪd]
aktivně,actively [ˈæk.tɪv.li]
pekař,baker [ˈbeɪ.kər]
(po)žehnat,bless [bles]
kartáček,brush [brʌʃ]
břemeno,burden [ˈbɜː.dən]
nenucený,casual [ˈkæʒ.ju.əl]
potvrdit (úředně ap.),certify [ˈsɜː.tɪ.faɪ]
civil(ista),civilian [sɪˈvɪl.jən]
koalice,coalition [kəʊ.əˈlɪʃ.ən]
kohout,cock [kɒk]
stěžovat si,complain [kəmˈpleɪn]
kontroverzní,controversial [ˌkɒn.trəˈvɜː.ʃəl]
různě,differently [ˈdɪf.ər.ənt.li]
kázeň,discipline [ˈdɪs.ə.plɪn]
odporný,disgusting [dɪsˈɡʌs.tɪŋ]
dominantní,dominant [ˈdɒm.ɪ.nənt]
slohová práce,essay [ˈes.eɪ]
navíc,furthermore [ˌfɜː.ðəˈmɔːr]
názorný (výklad ap.),graphic [ˈɡræf.ɪk]
hojení,healing [ˈhiː.lɪŋ]
(z)realizovat,implement [ˈɪm.plɪ.ment]
okamžitě,instantly [ˈɪn.stənt.li]
invaze,invasion [ɪnˈveɪ.ʒən]
legendární,legendary [ˈledʒ.ən.dri]
výrobce,maker [ˈmeɪ.kər]
venkovní,outdoor [ˈaʊtˌdɔːr]
dlaň,palm [pɑːm]
tyč(ka),pole [pəʊl]
hospoda,pub [pʌb]
správce parku,ranger [ˈreɪn.dʒər]
recepce,reception [rɪˈsep.ʃən]
recept (kuchařský) ,recipe [ˈres.ɪ.pi]
regulační,regulatory [ˌreɡ.jəˈleɪ.tər.i]
pryž,rubber [ˈrʌb.ər]
seriál,serial [ˈsɪə.ri.əl]
had,snake [sneɪk]
sponzor,sponsor [ˈspɒn.sər]
přísný,strict [strɪkt]
následně,subsequently [ˈsʌb.sɪ.kwənt.li]
látka,substance [ˈsʌb.stəns]
syndrom,syndrome [ˈsɪn.drəʊm]
nečekaný,unexpected [ˌʌn.ɪkˈspek.tɪd]
(míra) používání,usage [ˈjuː.sɪdʒ]
náhodně,accidentally [ˌæk.sɪˈden.təl.i]
cenově dostupné,affordable [əˈfɔː.də.bəl]
amatér,amateur [ˈæm.ə.tər]
zásobník (skladovací nádoba),bin [bɪn]
biologie,biology [baɪˈɒl.ə.dʒi]
krátce (po krátkou dobu),briefly [ˈbriːf.li]
kanál,canal [kəˈnæl]
zrušit,cancel [ˈkæn.səl]
výstup (zdola nahoru),climb [klaɪm]
dokončení,completion [kəmˈpliː.ʃən]
výletní plavba,cruise [kruːz]
(názorně) předvést,demonstrate [ˈdem.ən.streɪt]
odjezd (opuštění místa),departure [dɪˈpɑː.tʃər]
vývojář(ka),developer [dɪˈvel.ə.pər]
(vy)kopat,dig [dɪɡ]
orel,eagle [ˈiː.ɡəl]
výbuch,explosion [ɪkˈspləʊ.ʒən]
horečka,fever [ˈfiː.vər]
tekutina,fluid [ˈfluː.ɪd]
hezký,handsome [ˈhæn.səm]
představivost,imagination [ɪˌmædʒ.ɪˈneɪ.ʃən]
integrace,integration [ˌɪn.tɪˈɡreɪ.ʃən]
morální zásadovost,integrity [ɪnˈteɡ.rə.ti]
výklad,interpretation [ɪnˌtɜː.prəˈteɪ.ʃən]
list,leaf [liːf]
legitimní,legitimate [ləˈdʒɪt.ə.mət]
blesk(y),lightning [ˈlaɪt.nɪŋ]
kouzelný,magical [ˈmædʒ.ɪ.kəl]
motivace,motivation [ˌməʊ.tɪˈveɪ.ʃən]
hnusný,nasty [ˈnɑː.sti]
vybavit,outfit [ˈaʊt.fɪt]
důchod,pension [ˈpen.ʃən]
povolení (úřední a jiný souhlas),permit [pəˈmɪt]
příjemný,pleasant [ˈplez.ənt]
portrét,portrait [ˈpɔː.trət]
produktivní,productive [prəˈdʌk.tɪv]
bezpečně,safely [ˈseɪf.li]
drobný (postavou),slight [slaɪt]
socialistický,socialist [ˈsəʊ.ʃəl.ɪst]
streamování,streaming [ˈstriː.mɪŋ]
(za)žalovat,sue [suː]
napětí,tension [ˈten.ʃən]
dojemný,touching [ˈtʌtʃ.ɪŋ]
transakce,transaction [trænˈzæk.ʃən]
(z)kroutit,twist [twɪst]
nezaměstnanost,unemployment [ˌʌn.ɪmˈplɔɪ.mənt]
jednota,unity [ˈjuː.nə.ti]
zbytečný,useless [ˈjuːs.ləs]
divák,viewer [ˈvjuː.ər]
obhájce,advocate [ˈæd.və.keɪt]
oblouk,arc [ɑːk]
záloha (dat),backup [ˈbæk.ʌp]
hořký,bitter [ˈbɪt.ər]
chytrý,clever [ˈklev.ər]
klinika,clinic [ˈklɪn.ɪk]
nepřetržitý,continuous [kənˈtɪn.ju.əs]
konvertovat,convert [kənˈvɜːt]
správně,correctly [kəˈrekt.li]
tvůrce,creator [kriˈeɪ.tər]
stvoření,creature [ˈkriː.tʃər]
postižení,disability [ˌdɪs.əˈbɪl.ə.ti]
(mělká) mísa,dish [dɪʃ]
kachna,duck [dʌk]
ohodnocení,evaluation [ɪˌvæl.juˈeɪ.ʃən]
nadbytek,excess [ɪkˈses]
zemědělství,farming [ˈfɑː.mɪŋ]
plot,fence [fens]
postupně,gradually [ˈɡrædʒ.u.ə.li]
gravitace,gravity [ˈɡræv.ə.ti]
držák,holder [ˈhəʊl.dər]
kapuce,hood [hʊd]
identický,identical [aɪˈden.tɪ.kəl]
císařský,imperial [ɪmˈpɪə.ri.əl]
právně,legally [ˈliː.ɡəl.i]
metr,meter [ˈmiː.tər]
hřebík,nail [neɪl]
jednání,negotiation [nəˌɡəʊ.ʃiˈeɪ.ʃən]
nesmysl,nonsense [ˈnɒn.səns]
akceschopný,operational [ˌɒp.ərˈeɪ.ʃən.əl]
básník,poet [ˈpəʊ.ɪt]
opakovaně,repeatedly [rɪˈpiː.tɪd.li]
dřez,sink [sɪŋk]
vynechat (přeskočit),skip [skɪp]
otroctví,slavery [ˈsleɪ.vər.i]
lusknout (prsty),snap [snæp]
plavat,swim [swɪm]
švýcarský,swiss [swɪs]
transformace,transformation [ˌtræns.fəˈmeɪ.ʃən]
zranitelné,vulnerable [ˈvʌl.nər.ə.bəl]
bohatý,wealthy [ˈwel.θi]
navíc,additionally [əˈdɪʃ.ən.əl.i]
bronz,bronze [brɒnz]
brouk (hovor.),bug [bʌɡ]
jeskyně,cave [keɪv]
chronický,chronic [ˈkrɒn.ɪk]
komunikovat,communicate [kəˈmjuː.nɪ.keɪt]
usvědčit,convict [kənˈvɪkt]
diagnóza,diagnosis [ˌdaɪ.əɡˈnəʊ.sɪs]
propustit (ze zaměstnání ap.),dismiss [dɪˈsmɪs]
dávka,dose [dəʊs]
"maso (živé, část těla)",flesh [fleʃ]
cvrnknout,flip [flɪp]
štědrý,generous [ˈdʒen.ər.əs]
loajální,loyal [ˈlɔɪ.əl]
marihuana,marijuana [ˌmær.əˈwɑː.nə]
okupace,occupation [ˌɒk.jəˈpeɪ.ʃən]
oponent,opponent [əˈpəʊ.nənt]
malba,painting [ˈpeɪn.tɪŋ]
záplata,patch [pætʃ]
trpělivost,patience [ˈpeɪ.ʃəns]
znečištění,pollution [pəˈluː.ʃən]
přesně,precisely [prɪˈsaɪs.li]
vězeň,prisoner [ˈprɪz.ən.ər]
výsada,privilege [ˈprɪv.əl.ɪdʒ]
punk,punk [pʌŋk]
radar,radar [ˈreɪ.dɑːr]
vzdorovat,resist [rɪˈzɪst]
výhradně,solely [ˈsəʊl.li]
turista,tourist [ˈtʊə.rɪst]
tranzit,transit [ˈtræn.zɪt]
vila,villa [ˈvɪl.ə]
bezdrátový,wireless [ˈwaɪə.ləs]
(za)balit,wrap [ræp]
jóga,yoga [ˈjəʊ.ɡə]
bakterie,bacteria [bækˈtɪə.ri.ə]
vedle (těsně u něčeho),beside [bɪˈsaɪd]
čepel,blade [bleɪd]
dolar,buck [bʌk]
(velký) objem,bulk [bʌlk]
náklad,cargo [ˈkɑː.ɡəʊ]
sčítání lidu,census [ˈsen.səs]
pobřežní,coastal [ˈkəʊ.stəl]
